setpoint,kp,ki,kd,mae,oscillations,overshoot_pct
2103.142704695098,0.006449560048412519,0.003964583796853647,0.0011099105399623693,608.2381852856863,2,0
1935.793671881874,0.0029298748190743377,0.005814982061785972,0.00236460389834259,738.9588290670137,1,0
1921.804787835515,0.004049476439105739,0.004916843868105867,0.002681958624175864,804.4618766537412,3,0
1961.7419487208947,0.0022295265407828867,0.0023878439219388254,0.0021009296684022967,702.3513738009619,3,0
1969.28154954298,0.003361552194591347,0.004892306372696737,0.002379715087441419,828.2629671706869,3,0
2097.250512206555,0.004593234711627834,0.0048627385680602144,0.002397199746287479,815.0920924054876,3,0
1956.8168408627525,0.005088359482505155,0.002795525492401855,0.00179639416335571,845.2769602517552,3,0
2041.6292914743058,0.00527110742094418,0.006333355807854092,0.0026265845848372402,817.6877345374461,3,0
1913.1464126834553,0.00609274847723427,0.005831767719679684,0.0026004424330547497,804.0348913158118,3,0
2031.6212617124422,0.0030863046531583982,0.006862199624046523,0.0024905628995774416,680.6476748278324,1,0
1881.2008508693862,0.005503320026681021,0.0022815952497224267,0.0029905919571637427,646.9949322728238,3,0
1930.4255977402552,0.004396969401647749,0.006819436830188902,0.0013244190351729126,1610.0551295077623,2,0
1906.3670689513488,0.004414227305334424,0.0025813213048671577,0.0017343354335536357,1188.2072011855064,3,0
2090.328305468796,0.004528630287549015,0.00452675188552511,0.0013540706645605374,706.1563614813338,0,0
2130.620058879219,0.005349323738023402,0.006591879460203656,0.0013696043621392567,1511.7554132565483,2,0
1928.3137554098346,0.004309833029899519,0.00218797287093972,0.0010074569430957997,1144.731707767733,3,0
2112.9768976793052,0.002480006484950478,0.0022332596816754583,0.002228619482570667,629.3473199311369,2,0
1970.0740751928856,0.00554781424830606,0.005723733321682239,0.0018864842940816901,862.2245865279535,3,0
2096.6389382207585,0.006650201378329909,0.0044005819294822175,0.001547391708037356,828.1412355225419,3,0
1933.9925067034023,0.003160891365234635,0.004746673203532663,0.0016226874802740213,623.0115625097847,1,0
2051.5186119665755,0.002668218471105313,0.004814973876951173,0.0028407859780156764,865.3213995655356,3,0
1974.7324521746514,0.0032320042195236563,0.006311640809264496,0.0024016280039055727,587.2459027271318,1,0
1895.9411697889823,0.003695409557353605,0.005759457231132918,0.0028997762640393886,863.3998164971206,3,0
2119.7523062361915,0.005872949021745081,0.0050025774957833695,0.0015266967195227072,840.2878306187384,3,0
1897.2214256227269,0.0021144663673977465,0.004141000293484836,0.0028310211507330536,769.0617559625429,3,0
